date;heure de départ;heure d'arrivée;durée;adresse de départ;adresse d'arrivée;distance;Kilométrage au compteur (km);consomation moy (l/100km);prix du carburant (EUR/l);cout (EUR);catégorie;
"23/11/19";11:47;12:11;"00:23";"48 Avenue de Lourme 63670 Le Cendre France";"2 Rue Jacques Antoine Dulaure 63430 Pont-du-Château France";"15,7";349;"5,2";"1,4";"1,13";"Autre"
"23/11/19";09:58;10:19;"00:20";"8 Rue Côte Tranchant 63430 Pont-du-Château France";"2 Rue des Jardins 63670 Le Cendre France";"13,3";334;"6";"1,4";"1,12";"Autre"
"22/11/19";18:29;18:33;"00:04";"19 D2089 63430 Pont-du-Château France";"8 Rue Côte Tranchant 63430 Pont-du-Château France";"1,7";320;"7,2";"1,4";"0,17";"Autre"
"22/11/19";17:57;18:24;"00:27";"";"45.7911, 3.26201";"17,1";318;"5,2";"1,4";"1,25";"Autre"
"22/11/19";17:17;17:28;"00:11";"Polytech' 63170 Aubière France";"132 Avenue Edouard Michelin 63000 Clermont-Ferrand France";"4,8";301;"5,2";"1,4";"0,35";"Autre"
"22/11/19";09:39;09:47;"00:07";"68 Bis Avenue Edouard Michelin 63100 Clermont-Ferrand France";"Pôle Commun 63170 Aubière France";"3,7";296;"7,4";"1,38";"0,38";"Autre"
"21/11/19";17:39;18:20;"00:40";"3 Rue de la Chebarde 63170 Aubière France";"3 Place de l'Aire 63430 Pont-du-Château France";"17,2";280;"5,5";"1,38";"1,3";"Autre"
"21/11/19";14:07;14:22;"00:14";"";"45.75961, 3.10948";"5,1";263;"5,8";"1,38";"0,41";"Autre"
"21/11/19";12:02;12:30;"00:28";"Polytech' 63170 Aubière France";"43 Place de Jaude 63000 Clermont-Ferrand France";"6,9";258;"6,6";"1,38";"0,63";"Autre"
"21/11/19";09:22;09:31;"00:08";"132bis Avenue Edouard Michelin 63000 Clermont-Ferrand France";"Pôle Commun 63170 Aubière France";"3,7";251;"7,3";"1,38";"0,37";"Autre"
"21/11/19";08:46;09:08;"00:21";"5 Rue Côte Tranchant 63430 Pont-du-Château France";"132 Avenue Edouard Michelin 63000 Clermont-Ferrand France";"12,2";247;"5,7";"1,38";"0,97";"Autre"
"20/11/19";17:13;17:41;"00:27";"Pôle Commun 63170 Aubière France";"6 Rue Côte Tranchant 63430 Pont-du-Château France";"14,5";235;"5,4";"1,38";"1,09";"Professionnel"
"20/11/19";09:03;09:20;"00:17";"5 Rue Côte Tranchant 63430 Pont-du-Château France";"Pôle Commun 63170 Aubière France";"14,8";220;"5,7";"1,38";"1,17";"Professionnel"
"19/11/19";17:31;17:50;"00:19";"133 Rue Anatole France 63000 Clermont-Ferrand France";"8 Rue Côte Tranchant 63430 Pont-du-Château France";"12,7";206;"8";"1,38";"1,4";"Professionnel"
"19/11/19";16:35;16:56;"00:21";"";"45.77989, 3.115";"6,2";193;"5,4";"1,38";"0,46";"Autre"
"19/11/19";16:08;16:19;"00:10";"Pôle Commun 63170 Aubière France";"8 Rue des Pâles 63540 Romagnat France";"3,8";186;"7,7";"1,38";"0,4";"Autre"
"19/11/19";09:17;09:28;"00:10";"132bis Avenue Edouard Michelin 63000 Clermont-Ferrand France";"Pôle Commun 63170 Aubière France";"3,8";183;"7,4";"1,38";"0,39";"Professionnel"
"19/11/19";08:50;09:07;"00:16";"";"45.78021, 3.11422";"12,2";179;"5,4";"1,38";"0,92";"Professionnel"
"18/11/19";17:32;17:54;"00:22";"133 Rue Anatole France 63000 Clermont-Ferrand France";"6 Rue Côte Tranchant 63430 Pont-du-Château France";"12,8";166;"5,3";"1,38";"0,94";"Professionnel"
"18/11/19";16:53;17:04;"00:10";"Pôle Commun 63170 Aubière France";"133 Rue Anatole France 63000 Clermont-Ferrand France";"4,9";154;"5,8";"1,38";"0,4";"Professionnel"
"18/11/19";09:24;09:32;"00:07";"";"45.76009, 3.10938";"3,6";149;"7,2";"1,38";"0,36";"Professionnel"
"18/11/19";08:53;09:10;"00:17";"22 Rue de la Poste 63430 Pont-du-Château France";"132bis Avenue Edouard Michelin 63000 Clermont-Ferrand France";"12,9";145;"5,8";"1,38";"1,03";"Autre"
"16/11/19";15:51;16:09;"00:18";"1 Rue de Grangevieille 63370 Lempdes France";"22 Rue de la Poste 63430 Pont-du-Château France";"6,9";132;"6,2";"1,38";"0,59";"Autre"
"16/11/19";15:27;15:40;"00:13";"";"45.77624, 3.18939";"5,6";125;"5,6";"1,38";"0,43";"Autre"
"16/11/19";15:05;15:09;"00:03";"";"45.79965, 3.24253";"0,9";120;"9,7";"1,38";"0,12";"Autre"
"16/11/19";12:23;12:37;"00:14";"";"45.79766, 3.25008";"13";119;"5,5";"1,38";"0,99";"Autre"
"16/11/19";11:05;11:24;"00:18";"8 Rue Côte Tranchant 63430 Pont-du-Château France";"Unnamed Road 63100 Clermont-Ferrand France";"12,5";106;"6,3";"1,38";"1,08";"Autre"
"15/11/19";19:26;19:30;"00:03";"3 Place de l'Aire 63430 Pont-du-Château France";"8 Rue Côte Tranchant 63430 Pont-du-Château France";"0,9";93;"9,1";"1,38";"0,11";"Autre"
"15/11/19";18:19;18:35;"00:16";"125 Rue Anatole France 63000 Clermont-Ferrand France";"3 Place de l'Aire 63430 Pont-du-Château France";"12,2";92;"4,8";"1,38";"0,81";"Autre"
"15/11/19";17:48;18:02;"00:13";"102 Avenue de la République 63100 Clermont-Ferrand France";"132 Avenue Edouard Michelin 63000 Clermont-Ferrand France";"3,7";80;"6,3";"1,38";"0,32";"Autre"
"15/11/19";17:01;17:23;"00:21";"U.F.R. Sciences et Techniques des Activités Physiques et Sportives 3 Rue de la Chebarde 63170 Aubière France";"115 Avenue de la République 63100 Clermont-Ferrand France";"6,7";76;"5,7";"1,38";"0,53";"Autre"
